CIK,Company Name,Form Type,Date Filed,File name
1000228,HENRY SCHEIN INC,4,20200102,edgar/data/1000228/0001209191-20-000388.txt
1000275,ROYAL BANK OF CANADA,424B2,20200102,edgar/data/1000275/0001140361-20-000013.txt
1000275,ROYAL BANK OF CANADA,FWP,20200102,edgar/data/1000275/0001140361-20-000015.txt
1000275,ROYAL BANK OF CANADA,FWP,20200102,edgar/data/1000275/0001140361-20-000019.txt
1000275,ROYAL BANK OF CANADA,FWP,20200102,edgar/data/1000275/0001140361-20-000021.txt
1000275,ROYAL BANK OF CANADA,FWP,20200102,edgar/data/1000275/0001140361-20-000036.txt
1001316,"TG THERAPEUTICS, INC.",SC 13G,20200102,edgar/data/1001316/0001172661-20-000001.txt
1002047,"NetApp, Inc.",4,20200102,edgar/data/1002047/0001614094-20-000001.txt
1003078,MSC INDUSTRIAL DIRECT CO INC,4,20200102,edgar/data/1003078/0001003078-20-000002.txt
1003839,MATTHEW 25 FUND,497AD,20200102,edgar/data/1003839/0001162044-20-000001.txt
1003935,NICE Ltd.,6-K,20200102,edgar/data/1003935/0001178913-20-000004.txt
1004158,GS MORTGAGE SECURITIES CORP II,ABS-15G,20200102,edgar/data/1004158/0001539497-20-000002.txt
1004158,GS MORTGAGE SECURITIES CORP II,ABS-15G,20200102,edgar/data/1004158/0001539497-20-000002.txt
1004158,GS MORTGAGE SECURITIES CORP II,ABS-15G,20200102,edgar/data/1004158/0001539497-20-000002.txt
1004702,OCEANFIRST FINANCIAL CORP,3,20200102,edgar/data/1004702/0000899243-20-000028.txt
1004702,OCEANFIRST FINANCIAL CORP,3,20200102,edgar/data/1004702/0000899243-20-000029.txt
1004702,OCEANFIRST FINANCIAL CORP,4,20200102,edgar/data/1004702/0000899243-20-000030.txt
1004702,OCEANFIRST FINANCIAL CORP,4,20200102,edgar/data/1004702/0000899243-20-000031.txt
1004702,OCEANFIRST FINANCIAL CORP,8-K/A,20200102,edgar/data/1004702/0001193125-20-000240.txt
1004702,OCEANFIRST FINANCIAL CORP,8-K,20200102,edgar/data/1004702/0001193125-20-000225.txt
10048,BARNWELL INDUSTRIES INC,DFAN14A,20200102,edgar/data/10048/0001104659-20-000118.txt
10048,BARNWELL INDUSTRIES INC,SC 13D/A,20200102,edgar/data/10048/0001104659-20-000417.txt
1005170,WINFREY OPRAH,4,20200102,edgar/data/1005170/0001209191-20-000270.txt
1005286,LANDEC CORP \CA\,10-Q,20200102,edgar/data/1005286/0001628280-20-000015.txt
1005286,LANDEC CORP \CA\,8-K,20200102,edgar/data/1005286/0001628280-20-000013.txt
1005409,DIME COMMUNITY BANCSHARES INC,4,20200102,edgar/data/1005409/0001562180-20-000020.txt
1006830,CONSUMERS BANCORP INC /OH/,8-K,20200102,edgar/data/1006830/0001437749-20-000005.txt
1007433,JAMES BROOKE WILLIAMS,4,20200102,edgar/data/1007433/0000318300-20-000020.txt
1008079,KOCH C JAMES,4,20200102,edgar/data/1008079/0001562180-20-000015.txt
1008079,KOCH C JAMES,4,20200102,edgar/data/1008079/0001562180-20-000018.txt
1008105,HARDY REGINALD L,3,20200102,edgar/data/1008105/0001104659-20-000380.txt
1008413,BERGMAN STANLEY M,4,20200102,edgar/data/1008413/0001209191-20-000388.txt
1008463,TAN LIP BU,4,20200102,edgar/data/1008463/0001179706-20-000007.txt
1008586,STREAMLINE HEALTH SOLUTIONS INC.,8-K,20200102,edgar/data/1008586/0001104659-20-000427.txt
1008848,ACORDA THERAPEUTICS INC,SC 13G,20200102,edgar/data/1008848/0000899140-20-000005.txt
100885,UNION PACIFIC CORP,3,20200102,edgar/data/100885/0000100885-20-000002.txt
1009672,CARBO CERAMICS INC,8-K,20200102,edgar/data/1009672/0001564590-20-000115.txt
1009829,JAKKS PACIFIC INC,8-K,20200102,edgar/data/1009829/0001104659-20-000339.txt
1009874,MANDARICH DAVID D,4,20200102,edgar/data/1009874/0001009874-20-000002.txt
1009879,TISCH ANDREW H,4,20200102,edgar/data/1009879/0001209191-20-000341.txt
1009891,AIR INDUSTRIES GROUP,8-K,20200102,edgar/data/1009891/0001213900-20-000009.txt
1010086,SIGA TECHNOLOGIES INC,SC 13G/A,20200102,edgar/data/1010086/0001013594-20-000001.txt
1010178,TISCH JAMES S,4,20200102,edgar/data/1010178/0001209191-20-000346.txt
1010612,SYKES ENTERPRISES INC,4,20200102,edgar/data/1010612/0001127602-20-000011.txt
1011193,HOEHN SARIC RULDOLF CHRISTOPHER,4,20200102,edgar/data/1011193/0001104659-20-000528.txt
1011570,KNOLL INC,4,20200102,edgar/data/1011570/0001388038-20-000002.txt
1012163,SPARKS RAY A,4,20200102,edgar/data/1012163/0001127602-20-000239.txt
1013462,ANSYS INC,4,20200102,edgar/data/1013462/0001214659-20-000062.txt
1013606,ENDOLOGIX INC /DE/,4,20200102,edgar/data/1013606/0001013606-20-000004.txt
1013606,ENDOLOGIX INC /DE/,4,20200102,edgar/data/1013606/0001013606-20-000006.txt
1014111,"GlassBridge Enterprises, Inc.",8-K,20200102,edgar/data/1014111/0001493152-20-000019.txt
1014833,WHITTEMORE ANNE M,4,20200102,edgar/data/1014833/0000075252-20-000004.txt
1014913,"FRONTIER FUNDS, INC.",497,20200102,edgar/data/1014913/0000894189-20-000020.txt
1015221,WOOD E JENNER III,4,20200102,edgar/data/1015221/0001209191-20-000363.txt
1015328,WINTRUST FINANCIAL CORP,4,20200102,edgar/data/1015328/0001015328-20-000011.txt
1015328,WINTRUST FINANCIAL CORP,4,20200102,edgar/data/1015328/0001015328-20-000012.txt
1015328,WINTRUST FINANCIAL CORP,4,20200102,edgar/data/1015328/0001015328-20-000013.txt
1015328,WINTRUST FINANCIAL CORP,4,20200102,edgar/data/1015328/0001015328-20-000014.txt
1015328,WINTRUST FINANCIAL CORP,4,20200102,edgar/data/1015328/0001015328-20-000015.txt
1015328,WINTRUST FINANCIAL CORP,4,20200102,edgar/data/1015328/0001015328-20-000016.txt
1015328,WINTRUST FINANCIAL CORP,4,20200102,edgar/data/1015328/0001015328-20-000017.txt
1015328,WINTRUST FINANCIAL CORP,4,20200102,edgar/data/1015328/0001015328-20-000018.txt
1015328,WINTRUST FINANCIAL CORP,4,20200102,edgar/data/1015328/0001015328-20-000019.txt
1015328,WINTRUST FINANCIAL CORP,4,20200102,edgar/data/1015328/0001015328-20-000020.txt
1015884,JOYCE RENE R,4,20200102,edgar/data/1015884/0001357400-20-000004.txt
1015915,DRIMAL CHARLES E JR,4,20200102,edgar/data/1015915/0000899243-20-000121.txt
1016281,CARRIAGE SERVICES INC,4,20200102,edgar/data/1016281/0001016281-20-000002.txt
1016281,CARRIAGE SERVICES INC,4,20200102,edgar/data/1016281/0001016281-20-000004.txt
1016750,SHUTZER WILLIAM A,4,20200102,edgar/data/1016750/0000098246-20-000016.txt
1016844,TAUREL SIDNEY,4,20200102,edgar/data/1016844/0001562180-20-000044.txt
1017480,HIBBETT SPORTS INC,3,20200102,edgar/data/1017480/0001567619-20-000006.txt
1017480,HIBBETT SPORTS INC,4,20200102,edgar/data/1017480/0001567619-20-000015.txt
1017480,HIBBETT SPORTS INC,4,20200102,edgar/data/1017480/0001567619-20-000016.txt
1018170,HARDING LOEVNER FUNDS INC,N-CSR,20200102,edgar/data/1018170/0001193125-20-000496.txt
1019695,ARQULE INC,SC 14D9/A,20200102,edgar/data/1019695/0001104659-20-000326.txt
1019695,ARQULE INC,SC TO-T/A,20200102,edgar/data/1019695/0001140361-20-000057.txt
1021199,BROUGHTON GEORGE W,4,20200102,edgar/data/1021199/0000318300-20-000017.txt
1021210,SCHNEEBERGER CAROL A,4,20200102,edgar/data/1021210/0000318300-20-000006.txt
1021604,ON TRACK INNOVATIONS LTD,4,20200102,edgar/data/1021604/0001213900-20-000023.txt
1021604,ON TRACK INNOVATIONS LTD,D,20200102,edgar/data/1021604/0001213900-20-000020.txt
1021860,NATIONAL OILWELL VARCO INC,4,20200102,edgar/data/1021860/0000899243-20-000134.txt
1022585,MCCONNELL J WARD JR,4,20200102,edgar/data/1022585/0000914190-20-000002.txt
1023219,RUSSO PATRICIA F,4,20200102,edgar/data/1023219/0001179706-20-000008.txt
1023994,"SG BLOCKS, INC.",8-K,20200102,edgar/data/1023994/0001213900-20-000052.txt
1024240,STATON DANIEL C,4,20200102,edgar/data/1024240/0001567619-20-000130.txt
1025094,KILTS JAMES M,4,20200102,edgar/data/1025094/0001225208-20-000055.txt
10254,EARTHSTONE ENERGY INC,4,20200102,edgar/data/10254/0000010254-20-000005.txt
10254,EARTHSTONE ENERGY INC,4,20200102,edgar/data/10254/0000010254-20-000006.txt
10254,EARTHSTONE ENERGY INC,4,20200102,edgar/data/10254/0000010254-20-000007.txt
10254,EARTHSTONE ENERGY INC,4,20200102,edgar/data/10254/0000010254-20-000008.txt
